Panelist_ID,Age_Group,Gender,Vegan_Status,Product,Appearance,Aroma,Texture,Flavor,Saltiness,Creaminess,Aftertaste,Overall_Liking,Purchase_Intent
1,18-25,F,No,Cashew_Cheddar,4,3,3,2,3,2,2,2,2
1,18-25,F,No,Almond_Mozzarella,3,4,5,4,2,4,4,4,4
1,18-25,F,No,Soy_Gouda,2,2,3,3,4,3,2,2,2
1,18-25,F,No,Coconut_Brie,5,4,4,4,2,5,3,4,3
2,26-35,M,Yes,Cashew_Cheddar,5,5,4,5,3,4,5,5,5
2,26-35,M,Yes,Almond_Mozzarella,4,4,5,5,2,5,4,5,5
2,26-35,M,Yes,Soy_Gouda,3,3,4,4,4,4,3,4,4
2,26-35,M,Yes,Coconut_Brie,5,5,5,5,2,5,4,5,5
3,36-45,F,No,Cashew_Cheddar,3,2,2,2,4,2,1,2,1
3,36-45,F,No,Almond_Mozzarella,3,3,4,3,2,3,3,3,3
3,36-45,F,No,Soy_Gouda,2,1,2,2,5,2,1,1,1
3,36-45,F,No,Coconut_Brie,4,3,3,3,2,4,2,3,2
4,18-25,M,No,Cashew_Cheddar,4,4,3,3,3,3,3,3,3
4,18-25,M,No,Almond_Mozzarella,4,4,5,4,2,4,4,4,4
4,18-25,M,No,Soy_Gouda,3,3,3,3,4,3,2,3,2
4,18-25,M,No,Coconut_Brie,5,4,4,4,2,5,3,4,4
5,46-55,F,Sometimes,Cashew_Cheddar,4,4,4,4,3,4,4,4,4
5,46-55,F,Sometimes,Almond_Mozzarella,4,4,5,4,2,4,4,4,4
5,46-55,F,Sometimes,Soy_Gouda,3,3,4,4,4,4,3,3,3
5,46-55,F,Sometimes,Coconut_Brie,5,5,5,5,2,5,4,5,5
6,26-35,F,Yes,Cashew_Cheddar,5,5,5,5,3,5,5,5,5
6,26-35,F,Yes,Almond_Mozzarella,4,4,5,5,2,5,4,5,5
6,26-35,F,Yes,Soy_Gouda,4,4,4,4,4,4,4,4,4
6,26-35,F,Yes,Coconut_Brie,5,5,5,5,2,5,5,5,5
7,56+,M,No,Cashew_Cheddar,2,2,2,1,3,1,1,1,1
7,56+,M,No,Almond_Mozzarella,2,3,3,2,2,2,2,2,1
7,56+,M,No,Soy_Gouda,1,1,2,1,4,1,1,1,1
7,56+,M,No,Coconut_Brie,3,3,3,2,2,3,2,2,2
8,18-25,F,Sometimes,Cashew_Cheddar,4,4,4,4,3,4,3,4,4
8,18-25,F,Sometimes,Almond_Mozzarella,4,5,5,5,2,5,4,5,5
8,18-25,F,Sometimes,Soy_Gouda,3,3,4,3,4,3,3,3,3
8,18-25,F,Sometimes,Coconut_Brie,5,5,5,5,2,5,4,5,5
9,36-45,M,No,Cashew_Cheddar,3,3,3,2,3,2,2,2,2
9,36-45,M,No,Almond_Mozzarella,3,4,4,3,2,3,3,3,3
9,36-45,M,No,Soy_Gouda,2,2,3,2,4,2,2,2,1
9,36-45,M,No,Coconut_Brie,4,4,4,3,2,4,3,3,3
10,26-35,M,Sometimes,Cashew_Cheddar,4,4,4,4,3,4,4,4,4
10,26-35,M,Sometimes,Almond_Mozzarella,4,5,5,5,2,5,4,5,4
10,26-35,M,Sometimes,Soy_Gouda,3,3,4,4,4,4,3,4,3
10,26-35,M,Sometimes,Coconut_Brie,5,5,5,5,2,5,4,5,5
11,18-25,F,Yes,Cashew_Cheddar,5,5,5,5,3,5,5,5,5
11,18-25,F,Yes,Almond_Mozzarella,5,5,5,5,2,5,5,5,5
11,18-25,F,Yes,Soy_Gouda,4,4,4,4,4,4,4,4,4
11,18-25,F,Yes,Coconut_Brie,5,5,5,5,2,5,5,5,5
12,46-55,M,No,Cashew_Cheddar,2,2,2,2,3,2,1,2,1
12,46-55,M,No,Almond_Mozzarella,3,3,4,3,2,3,3,3,2
12,46-55,M,No,Soy_Gouda,2,1,2,2,5,2,1,1,1
12,46-55,M,No,Coconut_Brie,3,3,3,3,2,3,2,3,2
